,ufos,duration_of_sighting,time_of_day
718,5,1800.0,1030
719,10,600.0,1045
720,10,15.0,1830
721,3,30.0,2340
722,10,10.0,930
723,1,780.0,945
724,2,30.0,1400
725,1,15.0,1500
726,10,20.0,10
727,2,10.0,234
728,5,2700.0,711
729,5,1800.0,800
730,1,1800.0,830
731,5,900.0,840
732,1,1800.0,1000
733,9,900.0,1015
734,0,10.0,2040
735,7,10.0,705
736,2,10.0,715
737,3,10.0,730
738,6,3600.0,920
739,3,25.0,930
740,1,35.0,1100
741,1,15.0,1130
742,1,1200.0,2235
743,2,30.0,700
744,5,18.0,300
745,6,30.0,305
746,5,10.0,830
747,1,20.0,310
748,2,25.0,500
749,6,45.0,1345
750,1,900.0,1445
751,1,20.0,700
752,15,600.0,100
753,2,1800.0,400
754,11,45.0,600
755,3,50.0,1125
756,10,3600.0,930
757,1,10.0,1010
758,6,1200.0,307
759,10,1800.0,2130
760,2,15.0,547
761,3,900.0,915
762,1,900.0,930
763,15,1200.0,930
764,11,30.0,1100
765,13,5.0,1115
766,2,15.0,715
767,2,20.0,400
768,16,900.0,642
769,9,1200.0,735
770,5,600.0,858
771,5,600.0,945
772,3,900.0,1100
773,5,600.0,1300
774,5,15.0,1520
775,1,600.0,700
776,1,1500.0,810
777,1,25.0,845
778,3,10.0,1845
779,10,45.0,2017
780,1,15.0,900
781,13,15.0,935
782,10,20.0,1100
783,7,30.0,800
784,3,15.0,1300
785,18,600.0,400
786,10,15.0,1000
787,7,600.0,1201
788,1,15.0,1633
789,1,1800.0,800
790,1,600.0,825
791,10,600.0,845
792,1,15.0,1015
793,1,15.0,1030
794,11,15.0,845
795,10,1800.0,2315
796,1,20.0,930
797,10,15.0,930
798,10,900.0,930
799,6,10.0,1300
800,16,10.0,2000
801,1,30.0,800
802,6,10.0,1850
803,10,12.0,723
804,0,600.0,1100
805,3,10.0,745
806,1,600.0,900
807,5,900.0,1000
808,2,10.0,300
809,5,20.0,1115
810,2,10.0,600
811,7,30.0,1100
812,5,1800.0,1600
813,16,10.0,800
814,3,900.0,1700
815,4,600.0,1930
816,10,15.0,1515
817,11,15.0,1530
818,2,10.0,700
819,1,15.0,1300
820,6,0.17,1750
821,0,1200.0,1945
822,6,10.0,850
823,15,30.0,920
824,6,30.0,1000
825,6,1800.0,1145
826,16,1800.0,1200
827,4,10.0,2000
828,8,10.0,530
829,10,10.0,700
830,6,15.0,715
831,5,45.0,715
832,10,1800.0,719
833,10,10.0,730
834,1,1200.0,740
835,1,2700.0,745
836,6,1800.0,812
837,1,5400.0,815
838,10,10.0,930
839,2,15.0,1034
840,8,15.0,1034
841,1,2700.0,1035
842,2,15.0,1130
843,9,20.0,1930
844,1,600.0,1300
845,11,10.0,1400
846,3,30.0,945
847,4,10.0,1030
848,2,1500.0,805
849,1,900.0,845
850,2,600.0,400
851,15,900.0,930
852,13,10.0,1130
853,3,600.0,1400
854,10,45.0,600
855,1,20.0,900
856,10,3600.0,915
857,0,600.0,1810
858,17,10.0,740
859,15,70.0,1015
860,0,20.0,445
861,2,20.0,530
862,10,1500.0,1300
863,5,600.0,2140
864,17,10.0,200
865,3,10.0,635
866,3,2700.0,1030
867,2,25.0,1250
868,10,10.0,1330
869,7,1200.0,1341
870,2,15.0,100
871,6,10.0,700
872,2,900.0,805
873,1,900.0,815
874,5,30.0,830
875,14,10.0,900
876,10,10.0,645
877,3,600.0,837
878,6,600.0,1015
879,1,15.0,1400
880,10,900.0,835
881,2,10.0,900
882,5,10.0,940
883,1,45.0,1000
884,11,10.0,1125
885,1,20.0,1145
886,10,10.0,2245
887,2,10.0,2300
888,1,26.0,113
889,10,1200.0,140
890,1,15.0,630
891,4,10.0,705
892,4,600.0,730
893,1,1800.0,803
894,10,15.0,805
895,10,20.0,815
896,10,10.0,815
897,1,10.0,845
898,1,600.0,900
899,4,1800.0,900
900,1,30.0,930
901,5,3600.0,1000
902,9,600.0,1030
903,10,15.0,1100
904,16,45.0,1130
905,6,45.0,1730
906,2,45.0,900
907,1,1800.0,600
908,2,20.0,730
909,2,20.0,1130
910,3,45.0,730
911,1,10.0,1515
912,2,10.0,1200
913,5,15.0,930
914,13,30.0,630
915,6,10.0,830
916,3,15.0,1000
917,1,1500.0,1000
918,3,15.0,2318
919,6,15.0,620
920,5,1800.0,2045
921,1,10.0,700
922,10,1500.0,1025
923,0,1800.0,1100
924,4,600.0,820
925,1,10.0,900
926,5,1800.0,100
927,1,1500.0,715
928,8,2700.0,130
929,10,15.0,405
930,4,600.0,845
931,5,900.0,845
932,16,1200.0,845
933,10,600.0,845
934,1,900.0,850
935,10,2400.0,930
936,16,20.0,1300
937,2,900.0,1830
938,1,1800.0,30
939,5,2100.0,600
940,4,1800.0,815
941,1,1200.0,1334
942,1,1800.0,1615
943,10,1800.0,2125
944,3,900.0,900
945,5,45.0,1000
946,6,15.0,1100
947,2,1800.0,1545
948,10,600.0,1430
949,13,3000.0,200
950,3,15.0,800
951,1,10.0,900
952,10,5400.0,1030
953,0,900.0,1557
954,1,10.0,1700
955,8,15.0,630
956,16,10.0,715
957,3,900.0,830
958,1,900.0,830
959,11,600.0,1215
960,3,15.0,1220
961,4,600.0,900
962,2,13.0,1620
963,4,1500.0,605
964,10,720.0,700
965,10,1200.0,728
966,0,1200.0,830
967,1,15.0,1130
968,10,20.0,1930
969,1,1200.0,300
970,13,25.0,630
971,2,0.42,830
972,1,1800.0,930
973,2,5400.0,1230
974,5,31.0,1805
975,5,600.0,530
976,10,25.0,600
977,5,10.0,600
978,11,15.0,630
979,0,10.0,715
980,2,15.0,720
981,1,10.0,830
982,1,15.0,1015
983,17,30.0,1030
984,10,10.0,1035
985,0,20.0,1100
986,6,600.0,2010
987,2,45.0,200
988,16,12.0,620
989,3,30.0,655
990,1,1800.0,657
991,11,15.0,700
992,5,16.0,940
993,2,15.0,530
994,9,600.0,1120
995,1,30.0,900
996,1,30.0,930
997,1,10.0,930
998,3,600.0,830
999,1,10.0,1000
1000,17,35.0,1020
1001,5,20.0,645
1002,10,10.0,1330
1003,10,20.0,2355
1004,2,15.0,100
1005,9,15.0,800
1006,2,900.0,2130
1007,16,10.0,500
1008,1,2700.0,915
1009,4,900.0,1800
1010,7,30.0,1830
1011,2,20.0,1430
1012,1,30.0,1500
1013,6,1200.0,700
1014,2,1800.0,740
1015,1,15.0,845
1016,1,30.0,900
1017,3,600.0,900
1018,10,30.0,800
1019,3,1800.0,1910
1020,4,1800.0,810
1021,10,30.0,1445
1022,1,15.0,1520
1023,1,600.0,1600
1024,11,15.0,200
1025,1,1200.0,700
1026,10,600.0,800
1027,2,20.0,700
1028,3,15.0,1200
1029,4,600.0,1800
1030,6,15.0,2000
1031,2,15.0,2200
1032,1,3600.0,654
1033,10,10.0,700
1034,8,600.0,725
1035,17,15.0,730
1036,4,600.0,730
1037,1,1800.0,800
1038,10,600.0,900
1039,0,20.0,1000
1040,2,30.0,1047
1041,0,600.0,1330
1042,5,55.0,1400
1043,2,10.0,1520
1044,6,600.0,1540
1045,13,900.0,1600
1046,1,900.0,1730
1047,2,20.0,240
1048,1,1800.0,630
1049,10,10.0,723
1050,6,45.0,1000
1051,1,45.0,1000
1052,3,5400.0,1157
1053,5,600.0,1836
1054,8,15.0,651
1055,1,25.0,720
1056,5,1200.0,740
1057,13,15.0,745
1058,7,10.0,750
1059,10,1800.0,935
1060,11,15.0,1000
1061,1,15.0,1100
1062,2,15.0,930
1063,2,10.0,1030
1064,4,15.0,1200
1065,5,600.0,200
1066,7,900.0,0
1067,2,1200.0,708
1068,2,1380.0,1834
1069,4,900.0,1445
1070,6,3600.0,900
1071,1,600.0,1015
1072,1,10.0,1730
1073,16,1200.0,2230
1074,1,1800.0,30
1075,13,10.0,620
1076,7,0.25,1500
1077,1,0.25,2115
1078,1,0.25,1245
1079,1,600.0,1400
1080,10,900.0,1945
1081,10,10.0,500
1082,11,10.0,1045
1083,1,1800.0,1330
1084,2,10.0,1830
1085,2,900.0,930
1086,4,1800.0,1710
1087,1,20.0,1000
1088,0,25.0,1412
1089,3,1200.0,2100
1090,1,900.0,1000
1091,6,900.0,1055
1092,6,10.0,1650
1093,10,720.0,1343
1094,7,10.0,100
1095,10,10.0,100
1096,3,15.0,100
1097,16,10.0,120
1098,18,600.0,730
1099,1,600.0,829
1100,9,15.0,900
1101,10,10.0,915
1102,1,1800.0,1051
1103,6,600.0,1208
1104,3,10.0,2345
1105,13,10.0,215
1106,5,60.0,600
1107,3,900.0,750
1108,11,1800.0,800
1109,10,1200.0,810
1110,6,900.0,900
1111,1,10.0,955
1112,10,15.0,1000
1113,1,15.0,800
1114,1,7.0,1000
1115,1,20.0,800
1116,10,11.0,1116
1117,1,10.0,1200
1118,1,15.0,930
1119,1,1800.0,1440
1120,4,1200.0,640
1121,7,15.0,1630
1122,6,600.0,730
1123,3,1800.0,850
1124,2,10.0,1000
1125,17,15.0,815
1126,18,1800.0,1830
1127,1,30.0,200
1128,11,30.0,900
1129,1,30.0,1140
1130,4,2700.0,2000
1131,1,600.0,545
1132,2,13.0,642
1133,19,30.0,1400
1134,6,60.0,1810
1135,11,20.0,300
1136,4,10.0,835
1137,11,1800.0,400
1138,6,2400.0,1515
1139,13,20.0,930
1140,10,10.0,2000
1141,1,15.0,310
1142,1,1800.0,647
1143,7,10.0,930
1144,10,45.0,1515
1145,2,600.0,2022
1146,1,10.0,2120
1147,13,1200.0,800
1148,3,1800.0,915
1149,1,10.0,945
1150,13,2400.0,1020
1151,10,20.0,1100
1152,6,10.0,1500
1153,1,25.0,400
1154,11,1200.0,530
1155,1,15.0,630
1156,1,10.0,800
1157,15,30.0,1300
1158,5,1800.0,1800
1159,0,20.0,2115
1160,10,2400.0,635
1161,1,30.0,708
1162,2,600.0,800
1163,8,720.0,815
1164,1,30.0,822
1165,10,35.0,939
1166,6,10.0,1130
1167,16,600.0,1830
1168,10,1800.0,900
1169,5,10.0,1200
1170,5,15.0,815
1171,1,1200.0,900
1172,0,600.0,918
1173,6,600.0,940
1174,6,1800.0,1200
1175,1,1800.0,1500
1176,10,3600.0,900
1177,9,600.0,1050
1178,9,1200.0,1500
1179,10,1800.0,1720
1180,1,15.0,2130
1181,10,1200.0,2330
1182,1,900.0,2339
1183,13,40.0,200
1184,10,10.0,1300
1185,5,1500.0,300
1186,1,45.0,700
1187,1,20.0,905
1188,1,600.0,1000
1189,1,1200.0,1100
1190,4,1500.0,1200
1191,2,15.0,705
1192,5,600.0,1900
1193,1,900.0,2100
1194,2,600.0,421
1195,5,10.0,900
1196,1,10.0,1510
1197,10,15.0,2200
1198,3,20.0,700
1199,5,1800.0,705
1200,5,15.0,730
1201,1,600.0,1050
1202,11,30.0,1400
1203,2,45.0,2030
1204,8,10.0,630
1205,2,20.0,730
1206,10,1800.0,800
1207,5,900.0,1430
1208,4,5400.0,1728
1209,11,1800.0,1910
1210,6,720.0,600
1211,3,1500.0,728
1212,13,45.0,730
1213,13,30.0,730
1214,17,20.0,745
1215,2,15.0,800
1216,4,20.0,900
1217,1,15.0,930
1218,9,10.0,930
1219,3,2700.0,1010
1220,11,10.0,1000
1221,1,2700.0,500
1222,5,2400.0,1200
1223,4,600.0,1200
1224,2,30.0,500
1225,5,15.0,1000
1226,2,40.0,2300
1227,10,3600.0,315
1228,1,10.0,900
1229,13,600.0,1345
1230,1,2700.0,400
1231,6,60.0,730
1232,1,20.0,815
1233,1,10.0,921
1234,4,900.0,1000
1235,11,900.0,1130
1236,5,15.0,1825
1237,5,25.0,520
1238,1,10.0,800
1239,8,10.0,830
1240,4,15.0,1000
1241,6,840.0,1650
1242,16,1200.0,534
1243,1,600.0,538
1244,19,1800.0,955
1245,5,600.0,1035
1246,16,30.0,1812
1247,17,15.0,1815
1248,1,10.0,600
1249,10,30.0,935
1250,3,2700.0,1803
1251,1,10.0,753
1252,1,15.0,1000
1253,3,30.0,1020
1254,3,20.0,1120
1255,2,30.0,1300
1256,16,900.0,721
1257,15,600.0,730
1258,3,10.0,1030
1259,4,15.0,1200
1260,2,2100.0,2130
1261,3,30.0,2230
1262,1,90.0,414
1263,1,900.0,630
1264,5,25.0,800
1265,1,45.0,800
1266,1,20.0,830
1267,1,1800.0,830
1268,1,15.0,830
1269,4,30.0,830
1270,15,15.0,845
1271,1,900.0,900
1272,1,30.0,930
1273,3,720.0,1000
1274,4,10.0,1030
1275,2,1200.0,1910
