,latitude,longitude,type
714,40.773662,-81.460856,cigar
715,32.7152778,-117.1563889,unknown
716,47.6105556,-122.1994444,light
717,37.9236111,-104.9297222,sphere
718,36.4469444,-95.7080556,other
719,42.0666667,-72.8619444,circle
720,52.983333,-122.483333,other
721,49.51397,-117.618387,light
722,39.6005556,-82.9461111,light
723,40.8022222,-124.1625,unknown
724,36.175,-115.1363889,cylinder
725,35.0844444,-106.6505556,oval
726,37.5536111,-77.4605556,triangle
727,32.2216667,-110.9258333,unknown
728,27.860302,-80.447274,other
729,51.883333,-0.516667,fireball
730,43.25,-85.1330556,sphere
731,52.133333,-106.666667,circle
732,41.462072,-87.894245,light
733,39.1269,-92.4399,light
734,41.6027778,-87.7438889,circle
735,41.6027778,-87.7438889,light
736,41.6302778,-87.8538889,diamond
737,41.5733333,-87.7844444,circle
738,41.626389,-87.711667,light
739,41.6302778,-87.8538889,light
740,41.6302778,-87.8538889,light
741,41.6252778,-87.7175,light
742,41.6027778,-87.7438889,changing
743,41.6027778,-87.7438889,light
744,41.626389,-87.711667,formation
745,41.5733333,-87.7844444,circle
746,41.5733333,-87.7844444,circle
747,41.5733333,-87.7844444,formation
748,41.5733333,-87.7844444,triangle
749,41.5733333,-87.7844444,triangle
750,41.6027778,-87.7438889,light
751,41.7205556,-87.7016667,light
752,41.6688889,-87.7386111,light
753,41.6611111,-87.7525,light
754,41.1338889,-81.4847222,other
755,41.8777778,-87.9027778,changing
756,41.4225,-87.9858333,triangle
757,41.6027778,-87.7438889,cylinder
758,41.6027778,-87.7438889,light
759,41.6027778,-87.7438889,unknown
760,41.6316667,-87.6813889,light
761,38.5730556,-82.8302778,circle
762,25.4683333,-80.4777778,light
763,35.0844444,-106.6505556,disk
764,26.6155556,-80.0572222,sphere
765,33.4483333,-112.0733333,oval
766,34.0522222,-118.2427778,formation
767,26.7052778,-80.0366667,teardrop
768,41.05143,-86.603065,triangle
769,45.1888889,-93.5527778,triangle
770,30.6647222,-97.9222222,light
771,37.3394444,-121.8938889,chevron
772,43.25,-79.833333,light
773,38.2972222,-122.2844444,unknown
774,39.4733333,-82.7394444,unknown
775,35.4675,-97.5161111,light
776,52.75,1.3,light
777,45.07,-85.2644444,unknown
778,49.972636,-98.282777,other
779,41.5733333,-87.7844444,light
780,41.9025,-85.7994444,oval
781,35.2333333,-106.6638889,oval
782,40.182846,29.067084,teardrop
783,32.8138889,-96.9486111,circle
784,34.0094444,-118.1044444,other
785,33.223191,43.679291,triangle
786,40.7141667,-74.0063889,rectangle
787,32.7938889,-79.8627778,circle
788,41.6269444,-88.2038889,oval
789,39.1886111,-91.9827778,cigar
790,42.068889,-123.720833,other
791,43.07,-94.2327778,unknown
792,48.7838889,-117.8105556,chevron
793,41.714918,-71.463612,disk
794,39.5786111,-76.6158333,oval
795,36.175,-115.1363889,fireball
